0	UNK
1	EOS
2	0
3	1
4	2
5	3
6	4
7	5
8	6
9	7
10	8
11	9
12	A
13	B
14	C
15	D
16	E
17	F
18	G
19	H
20	I
21	J
22	K
23	L
24	M
25	N
26	O
27	P
28	Q
29	R
30	S
31	T
32	U
33	V
34	W
35	X
36	Y
37	Z
38	Ạ
39	À
40	Á
41	Â
42	Ã
43	È
44	É
45	Ê
46	Ì
47	Í
48	Ò
49	Ó
50	Ô
51	Õ
52	Ù
53	Ú
54	Ý
55	Ă
56	Đ
57	Ĩ
58	Ũ
59	Ơ
60	Ư
61	Ả
62	Ấ
63	Ầ
64	Ẩ
65	Ẫ
66	Ậ
67	Ắ
68	Ằ
69	Ẳ
70	Ẵ
71	Ặ
72	Ẻ
73	Ẽ
74	Ế
75	Ề
76	Ể
77	Ễ
78	Ệ
79	Ị
80	Ỉ
81	Ọ
82	Ỏ
83	Ố
84	Ồ
85	Ổ
86	Ỗ
87	Ộ
88	Ớ
89	Ờ
90	Ở
91	Ỡ
92	Ợ
93	Ụ
94	Ủ
95	Ứ
96	Ừ
97	Ử
98	Ữ
99	Ự
100	Ỳ
101	Ỷ
102	Ỹ
